name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
Intel Core i7 X 940 @ 2.13GHz,CPU Passmark score 4179,0.0,CPUs,Intel Core i7 X 940 @ 2.13GHz - CPU Passmark score 4179,,,,False,955
Intel Core i7-4550U @ 1.50GHz,CPU Passmark score 4171,0.0,CPUs,Intel Core i7-4550U @ 1.50GHz - CPU Passmark score 4171,,,,False,954
AMD FX-4130 Quad-Core,CPU Passmark score 4163,117.43,CPUs,AMD FX-4130 Quad-Core - CPU Passmark score 4163,,,,True,953
AMD Phenom II X4 B99,CPU Passmark score 4154,0.0,CPUs,AMD Phenom II X4 B99 - CPU Passmark score 4154,,,,False,952
Intel Core i5-4200M @ 2.50GHz,CPU Passmark score 4151,0.0,CPUs,Intel Core i5-4200M @ 2.50GHz - CPU Passmark score 4151,,,,False,951
AMD Eng Sample Mobile 2185_A1,CPU Passmark score 4134,0.0,CPUs,AMD Eng Sample Mobile 2185_A1 - CPU Passmark score 4134,,,,False,950
Intel Core i5-4258U @ 2.40GHz,CPU Passmark score 4126,0.0,CPUs,Intel Core i5-4258U @ 2.40GHz - CPU Passmark score 4126,,,,False,949
AMD Phenom II X4 B60,CPU Passmark score 4123,0.0,CPUs,AMD Phenom II X4 B60 - CPU Passmark score 4123,,,,False,948
Intel Xeon X3360 @ 2.83GHz,CPU Passmark score 4120 - Price is last known price,268.0,CPUs,Intel Xeon X3360 @ 2.83GHz - CPU Passmark score 4120,,,,True,947
Intel Core i7-4558U @ 2.80GHz,CPU Passmark score 4116,0.0,CPUs,Intel Core i7-4558U @ 2.80GHz - CPU Passmark score 4116,,,,False,946
Intel Xeon L5430 @ 2.66GHz,CPU Passmark score 4099,0.0,CPUs,Intel Xeon L5430 @ 2.66GHz - CPU Passmark score 4099,,,,False,945
Intel Core i7-3555LE @ 2.50GHz,CPU Passmark score 4080,0.0,CPUs,Intel Core i7-3555LE @ 2.50GHz - CPU Passmark score 4080,,,,False,944
Intel Core2 Quad Q9550 @ 2.83GHz,CPU Passmark score 4075,268,CPUs,Intel Core2 Quad Q9550 @ 2.83GHz - CPU Passmark score 4075,,,,True,943
Intel Core i3-2125 @ 3.30GHz,CPU Passmark score 4056 - Price is last known price,149.99,CPUs,Intel Core i3-2125 @ 3.30GHz - CPU Passmark score 4056,,,,True,942
Intel Core i5-3320M @ 2.60GHz,CPU Passmark score 4053 - Price is last known price,239.99,CPUs,Intel Core i5-3320M @ 2.60GHz - CPU Passmark score 4053,,,,True,941
AMD A8-5500 APU,CPU Passmark score 4051,96.52,CPUs,AMD A8-5500 APU - CPU Passmark score 4051,,,,True,940
AMD FX-4100 Quad-Core,CPU Passmark score 4048,303.49,CPUs,AMD FX-4100 Quad-Core - CPU Passmark score 4048,,,,True,939
Intel Core i5-4310U @ 2.00GHz,CPU Passmark score 4043,0.0,CPUs,Intel Core i5-4310U @ 2.00GHz - CPU Passmark score 4043,,,,False,938
Intel Core i3-2130 @ 3.40GHz,CPU Passmark score 4026 - Price is last known price,293.59,CPUs,Intel Core i3-2130 @ 3.40GHz - CPU Passmark score 4026,,,,True,937
AMD Phenom II X4 20,CPU Passmark score 4025,0.0,CPUs,AMD Phenom II X4 20 - CPU Passmark score 4025,,,,False,936
Intel Core i7-3667U @ 2.00GHz,CPU Passmark score 4018,0.0,CPUs,Intel Core i7-3667U @ 2.00GHz - CPU Passmark score 4018,,,,False,935
Intel Xeon E5472 @ 3.00GHz,CPU Passmark score 4017 - Price is last known price,1098.95,CPUs,Intel Xeon E5472 @ 3.00GHz - CPU Passmark score 4017,,,,True,934
AMD Phenom II X4 955,CPU Passmark score 4010 - Price is last known price,215.0,CPUs,AMD Phenom II X4 955 - CPU Passmark score 4010,,,,True,933
AMD Opteron 3350 HE,CPU Passmark score 4009,0.0,CPUs,AMD Opteron 3350 HE - CPU Passmark score 4009,,,,False,932
Intel Xeon E5440 @ 2.83GHz,CPU Passmark score 4005 - Price is last known price,379.42,CPUs,Intel Xeon E5440 @ 2.83GHz - CPU Passmark score 4005,,,,True,931
Intel Core i5-3230M @ 2.60GHz,CPU Passmark score 3994,0.0,CPUs,Intel Core i5-3230M @ 2.60GHz - CPU Passmark score 3994,,,,False,930
Intel Core i7-2640M @ 2.80GHz,CPU Passmark score 3990,0.0,CPUs,Intel Core i7-2640M @ 2.80GHz - CPU Passmark score 3990,,,,False,929
AMD Athlon X4 740 Quad Core,CPU Passmark score 3973,74.99,CPUs,AMD Athlon X4 740 Quad Core - CPU Passmark score 3973,,,,True,928
